"","wt_nt.1","wt_nt.2","wt.1","wt.2","ako_nt.1","ako_nt.2","ako.1","ako.2"
"TC0100003395.mm.2",5.16413135748649,4.94112062022672,4.87490021252688,5.09190505330391,4.3709136811714,4.92761407395501,4.57067117394439,4.76944258727779
"TC0200001550.mm.2",4.5392409887504,4.16997175855337,4.19679255712961,3.88467654016603,4.30575247520065,3.42668637988103,3.70186609993822,4.4037330242335
"TC0600000856.mm.2",3.30100399376204,3.7239777967473,3.83277639456881,3.78603628787217,3.7172092921303,3.27389663517783,3.66594645468704,3.50281099266529
"TC1000002164.mm.2",5.20354351791884,4.99329417325227,6.68011873328168,6.30516883815571,5.32104300483362,5.52104306746138,6.27415951407313,6.11911487289819
"TC1500001461.mm.2",3.82772780283087,4.39925136714079,4.32954238639154,3.90027649813397,4.36197016287065,4.0516703204718,4.50657063205035,3.75449147218209
"TC0400004171.mm.2",5.58123928592856,5.99193276080311,10.2193362886517,10.0307079009525,5.90091590263401,5.35344037010844,10.1571470491327,10.1626627018741
"TC1200000884.mm.2",5.29723070147,4.90733119396443,4.68458712257669,5.02118587996269,5.26722976643869,5.02437151127737,5.14461716442192,5.63536776333129
"TC0300001903.mm.2",4.94449301156985,4.69131149732384,4.14813548853184,4.95209128992028,4.97807475279766,4.78823732051758,4.03284040096056,4.87839711472452
"TC0200002731.mm.2",10.5459343222112,10.2393753387198,9.89985315270357,9.85617113106279,10.419756487778,10.1637066098257,9.63872127204723,9.08815099343987
"TC0200002741.mm.2",8.32675323002646,8.30708448489906,7.73965781100888,7.99514739749553,8.20954735176064,8.3974622170473,7.51515277055788,7.17763051930567
"TC1500001135.mm.2",3.17012379879474,3.29639828578496,3.1765174416897,2.68154275118937,3.31656996570579,3.50642859605631,3.1250530726052,2.87168948615283
"TC0X00001163.mm.2",6.23473527512502,6.3397173291131,6.06061883906199,6.42754693747844,6.63897564533089,6.06582510667835,6.29676877150417,6.65685716377711
"TC0X00003128.mm.2",3.74780608165226,3.95533569570509,3.99625023828401,3.50604593271771,4.12075055168,3.66058839726932,3.49296621057149,3.71142406659538
"TC0Y00000485.mm.2",3.51543836421221,2.9367261346749,3.4172900092827,3.47737807332968,3.51203326793503,3.12126019001624,3.35784711816487,3.62793872831241
"TC0400002532.mm.2",4.16953865317523,4.75051834705015,4.99311310270435,5.09391136217768,4.51163215298142,4.46095243283546,4.33439959130651,4.50640662114162
"TC0900002805.mm.2",8.68913893709804,7.97707455318408,8.56169306353679,8.15573182637141,7.82402231997742,8.21267410220067,8.5515035110477,8.62597437884806
"TC0400000450.mm.2",5.53954016966327,5.65036177473703,5.54189147699682,5.24741001059844,5.01074178175052,5.59353591996273,5.67175171174569,5.15406241997896
"TC0100001533.mm.2",3.80773639093944,3.41672729184016,3.96119732996969,3.82313501540256,4.16231751672097,3.45616053970872,4.072570843515,3.5903502538874
"TC0800000560.mm.2",5.48840212989214,5.18235781950598,4.35293647294196,5.03972412921939,5.3468509702786,4.80269103232702,5.04068786499727,5.00341849435605
"TC1200001761.mm.2",7.54636260551935,7.58239680576,7.96705600694042,7.9397381264904,7.66428126036335,7.5734413208369,8.0002595589784,7.7398231260393
"TC0X00000343.mm.2",5.60752623511875,5.74658448343761,5.24434090752272,6.13947209507417,5.77084890025765,5.47696448626081,5.25496294142571,5.83881390768029
"TC0X00003391.mm.2",4.76212986815882,5.54567979715119,4.92262139331291,5.06507022844567,5.83035890530834,5.1004225981587,5.12431813751684,5.61466575650705
"TC0700002995.mm.2",4.72238268364113,4.47632207201134,4.213401794864,4.71349078986255,4.39951711302006,4.41179101395666,4.23640650615642,4.61866976877107
"TC0Y00000453.mm.2",2.92292571276156,3.67141815923308,3.37929392515268,3.34854908463661,3.65195480058552,3.46254803323964,3.09035000960377,3.42463779412866
"TC1500000102.mm.2",8.58258716007129,8.19559366837566,8.41200087942213,8.61725687300193,8.41465002256198,8.61603409963107,8.35975470848461,8.0673099539923
"TC1600002025.mm.2",3.70255484753196,3.39078340328639,3.74277689876292,3.92537099133315,3.81265526617015,3.30349829656037,3.90926952477006,3.5296606604254
"TC1100003735.mm.2",5.9060629269172,6.2521100095188,5.79970270781984,6.30012689637134,5.65584554960517,5.72370435743854,5.96711657250973,6.38545646737505
"TC0100003890.mm.2",9.42754423294037,9.30919940219443,11.1856672469042,10.5994853117848,9.08798269791817,9.11014434436499,10.6947396668484,10.7039231792214
