"","wt_nt.1","wt_nt.2","wt.1","wt.2","ako_nt.1","ako_nt.2","ako.1","ako.2"
"Sf3b3",9.53905994044863,9.52912785913646,8.97517448291564,8.83188069163733,9.52118202029628,8.75964024443231,8.46102163213946,7.68364570948578
"Usb1",7.77360949240221,8.12758469751967,9.63612617785315,9.89687608820586,7.93039622215135,8.37000957486181,9.3228347682195,9.84710388018528
"Prmt9",7.85590437986983,7.3752951986423,8.18218738389218,7.8946226288927,7.65551075098188,7.63555199231478,8.73669579642549,8.73441022770565
"Bbs4",6.07835708323967,6.30078696070911,7.44758251772706,7.07609042971913,5.49053616499749,5.42079738736574,7.00948991341869,6.55973688904546
"Pls3",7.70136190411587,9.02918395295996,8.4501154020955,8.72151996126801,9.0626447037925,8.13134699801277,7.62272877254604,7.30492535479825
"Radx",6.33184449632936,6.86453986342727,7.44274429903286,7.95586528816773,6.93474887772379,7.34092274957608,7.60018716053613,7.73722326554165
"Cenpi",7.19583029662051,7.39858716886254,4.44200529149417,3.78725026481736,8.15783512983966,6.5801420204704,4.10656601612287,4.23217430880785
"Chchd10",7.35196705022869,7.83947962560114,8.58632143917057,8.68242412789374,7.3738442782059,8.43731187929971,8.27309766386313,8.46943631204145
"Nup107",7.70719374105432,8.11434724652531,6.82399594458491,6.80006280707321,8.14034716186288,7.39629518500018,6.95890984411536,6.87073942456281
"Maml1",7.77058742067616,7.46012459682134,8.47933363091512,8.34582630085065,7.4397367594132,8.12407365125813,8.80740713497858,9.03006890861336
"Cyp27a1",8.14099912905568,7.13722794163589,3.82680294997817,4.11637052804163,6.12528191853422,6.53875773916709,4.56285893670102,4.36122499475557
"Adcy3",5.51249980602694,4.34087039244512,3.47406526956558,3.84193580372383,4.33172120296326,4.12818044990939,3.81176725311148,3.8616570919588
"Ndufb11",8.36260898785607,8.10852941941236,7.46223837885071,6.91542446362237,8.23080097384848,8.16256784440783,7.76081095442558,7.40168866828737
"Cdc42ep2",5.42217981575249,5.64505890009978,7.72484836350292,7.8847629345421,5.9868413970152,6.31908540832739,8.29762992861356,7.80396749798869
"Zfp119a",6.26435748231683,5.91079718623247,4.7788598860816,4.92696716635886,5.27929031522982,5.10646626726386,5.04850983889896,4.74536628338516
"Tsr1",8.37211602309623,8.17157218427888,7.03402803799267,7.39572740049637,7.9597490140396,7.38977573685307,7.09330424940732,6.87295685666877
"Slc16a6",7.31464778786479,7.17528729595473,7.08068693531223,7.67732101271308,6.32239450675012,6.95990104521462,7.84256362001281,8.4334615499128
"Ddx1",9.54885517571361,9.57454494825688,8.99501071663065,8.92254963317545,9.68271042397383,9.2275701465988,8.77817362830074,7.55321048492559
"Fancm",4.73914467825731,5.4666286556023,3.99614969986415,3.93894429685053,5.54323662891459,4.49746897460935,3.93537745906221,3.55477361954706
"Tdp1",7.71854345110261,7.86793526548838,7.16807705131045,6.76187513665391,7.81954050752156,7.88159897534333,6.59818741522927,6.10666427914102
"Iars",8.35206269083077,8.9066386664886,7.91495343187672,8.32504562782559,9.20148421779371,9.30930048362956,7.6827096475217,7.21110865946578
"Arrdc3",8.56581845716422,7.76090682255271,8.14907957977957,7.73437553308141,7.81817856154319,8.1001248149471,8.84309669633267,9.20716750724711
"Dusp22",8.01914221946213,8.16318208569294,6.91245730905631,6.58237669445165,7.62213350206005,7.98179590106657,6.46425525193915,6.99663424739357
"Rcbtb2",9.25461922654099,9.07668765985006,5.80962069741405,5.53626900998721,8.45405184989297,8.97341520997921,6.48387284767425,6.27561133220492
"Rfc4",7.77725237853482,7.81981225734544,6.73620972716001,6.77271428768249,8.70742799965395,7.39473688461806,6.92855216467257,6.99894341292689
"Sft2d1",9.84094926704429,9.12963752337935,8.38587729662169,8.41324509743674,9.0456576138685,9.37394325241436,8.61104880161073,8.7594405939337
"Ticam1",8.26890084981909,7.86485346047241,9.12253316181113,9.10390078132815,7.34196986912868,8.41177726055237,9.60735610826945,9.93004129061125
"Tcf19",6.32484456301822,7.73861069366374,3.97264321291021,4.14280090261668,8.4704736045969,6.02317341552916,3.97744710900676,4.73440644009279
